company_id,range_from,range_to,payment_method_id,bin_length,facility_payments_allowed,bin_id,create_timestamp,update_timestamp,config_version,enabled,priority
1,4513770000000000,4513779999999999,32,6,S,7341,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4398180000000000,4398189999999999,32,6,S,7342,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4548500000000000,4548509999999999,7,6,S,7343,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4548320000000000,4548329999999999,7,6,S,7344,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4548460000000000,4548469999999999,7,6,S,7345,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4793750000000000,4793759999999999,75,6,S,7347,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4793760000000000,4793769999999999,75,6,S,7348,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4793770000000000,4793779999999999,7,6,S,7349,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4793780000000000,4793789999999999,75,6,S,7350,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4322510000000000,4322519999999999,7,6,S,10230,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4512750000000000,4512759999999999,7,6,S,10231,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4338330000000000,4338339999999999,7,6,S,10232,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,500000000000000000,501022999999999999,25,6,S,10243,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,501024000000000000,501050999999999999,25,6,S,10244,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,501052000000000000,501089999999999999,25,6,S,10245,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,501110000000000000,501878999999999999,25,6,S,10246,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,501880000000000000,504337999999999999,25,6,S,10247,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504339000000000000,504362999999999999,25,6,S,10248,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504364000000000000,504407999999999999,25,6,S,10249,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504409000000000000,504445999999999999,25,6,S,10250,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504447000000000000,504457999999999999,25,6,S,10251,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504459000000000000,504514999999999999,25,6,S,10252,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504516000000000000,504519999999999999,25,6,S,10253,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504521000000000000,504532999999999999,25,6,S,10254,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504534000000000000,504567999999999999,25,6,S,10255,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504571000000000000,504600999999999999,25,6,S,10256,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504602000000000000,504638999999999999,25,6,S,10257,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504641000000000000,504650999999999999,25,6,S,10258,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504652000000000000,504655999999999999,25,6,S,10259,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504657000000000000,504742999999999999,25,6,S,10260,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504745000000000000,504756999999999999,25,6,S,10261,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504758000000000000,504779999999999999,25,6,S,10262,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504782000000000000,504787999999999999,25,6,S,10263,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504789000000000000,504801999999999999,25,6,S,10264,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504803000000000000,504905999999999999,25,6,S,10265,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504907000000000000,504961999999999999,25,6,S,10266,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,504963000000000000,506999999999999999,25,6,S,10267,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,507100000000000000,509999999999999999,25,6,S,10268,"2019-09-11 09:00:00","2019-09-24 12:40:21",0,1,1
1,570000000000000000,589406999999999999,25,6,S,10269,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,589408000000000000,589470999999999999,25,6,S,10270,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,589472000000000000,589520999999999999,25,6,S,10271,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,589522000000000000,589561999999999999,25,6,S,10272,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,589563000000000000,589656999999999999,25,6,S,10273,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,589658000000000000,589891999999999999,25,6,S,10274,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,589893000000000000,589954999999999999,25,6,S,10275,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,589956000000000000,600000999999999999,25,6,S,10276,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,600002000000000000,601067999999999999,25,6,S,10277,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,601070000000000000,603125999999999999,25,6,S,10278,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,603127000000000000,603287999999999999,25,6,S,10279,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,603289000000000000,603450999999999999,25,6,S,10280,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,603452000000000000,603487999999999999,25,6,S,10281,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,603489000000000000,603521999999999999,25,6,S,10282,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,603523000000000000,604200999999999999,25,6,S,10283,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,604401000000000000,604939999999999999,25,6,S,10284,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,604941000000000000,606067999999999999,25,6,S,10285,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,627171000000000000,627179999999999999,25,6,S,10287,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4508330000000000,4508339999999999,7,6,S,10296,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4508320000000000,4508329999999999,7,6,S,10297,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4509940000000000,4509949999999999,7,6,S,10298,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4546430000000000,4546459999999999,7,6,S,13255,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4984840000000000,4984849999999999,7,6,S,16210,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4923700000000000,4923709999999999,7,6,S,16211,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4923600000000000,4923609999999999,7,6,S,16212,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4338320000000000,4338329999999999,7,6,S,16213,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4491280000000000,4491289999999999,7,6,S,16230,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4491290000000000,4491299999999999,7,6,S,16231,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4491300000000000,4491309999999999,7,6,S,16232,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,6060680000000000,6060689999999999,22,6,S,19121,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,5047813620000000,5047813699999999,23,10,S,19123,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4824700000000000,4824709999999999,21,6,S,19188,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4220510000000000,4220519999999999,21,6,S,19189,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,62764900000000000,62764999999999999,37,6,S,20188,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737120000000000,4737129999999999,32,6,S,21735,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737140000000000,4737149999999999,32,6,S,21736,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737150000000000,4737159999999999,32,6,S,21737,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737160000000000,4737169999999999,32,6,S,21738,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737170000000000,4737179999999999,32,6,S,21739,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737180000000000,4737189999999999,32,6,S,21740,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737200000000000,4737209999999999,32,6,S,21742,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737210000000000,4737219999999999,32,6,S,21743,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737220000000000,4737259999999999,32,6,S,21744,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737100000000000,4737109999999999,32,6,S,22182,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737260000000000,4737269999999999,32,6,S,22183,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737110000000000,4737119999999999,32,6,S,22184,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
1,4737130000000000,4737139999999999,32,6,S,22185,"2019-09-11 09:00:00","2019-09-11 09:00:00",0,1,1
